./HIPE-results/output-hipe-15/output-hipe-2overlap/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.8509316770186336,0.556910569105691,0.6732186732186728,137.0,24.0,109.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.7755102040816326,0.6440677966101694,0.703703703703703,38.0,11.0,21.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8701298701298701,0.5193798449612403,0.6504854368932034,67.0,10.0,62.0
0.8198757763975155,0.5365853658536586,0.6486486486486481,132.0,29.0,114.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.7755102040816326,0.6440677966101694,0.703703703703703,38.0,11.0,21.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8051948051948052,0.4806201550387597,0.601941747572815,62.0,15.0,67.0
"
"
./HIPE-results/output-hipe-15/output-hipe-2overlap/
Micro-Precision,Micro-Recall,Micro-F1,TP,FP,FN
0.8509316770186336,0.556910569105691,0.6732186732186728,137.0,24.0,109.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.7755102040816326,0.6440677966101694,0.703703703703703,38.0,11.0,21.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8701298701298701,0.5193798449612403,0.6504854368932034,67.0,10.0,62.0
0.8198757763975155,0.5365853658536586,0.6486486486486481,132.0,29.0,114.0
0.9142857142857143,0.5818181818181818,0.7111111111111106,32.0,3.0,23.0
0.7755102040816326,0.6440677966101694,0.703703703703703,38.0,11.0,21.0
0.0,0.0,0.0,0.0,0.0,3.0
0.8051948051948052,0.4806201550387597,0.601941747572815,62.0,15.0,67.0
"
"
Macro-Precision,Macro-Recall,Macro-F1
0.8260511710511712,0.5480999392764098,0.642074781308191
0.75,0.5654761904761905,0.6226689976689976
0.7698412698412698,0.6662131519274377,0.6960300281728854
0.0,0.0,0.0
0.6922619047619049,0.49663357475857467,0.5499040901023681
0.7929956154956156,0.5319561484267366,0.62105432028773
0.75,0.5654761904761905,0.6226689976689976
0.7698412698412698,0.6662131519274377,0.6960300281728854
0.0,0.0,0.0
0.6220238095238095,0.46687166999666996,0.5135497634254607
